index,massinit,Xinit,Yinit,Zinit,fehinit,amlt,fov_core,fov0_core,eta
28272,0.94507,0.73324377,0.25965374,0.00710249,-0.27282715,2.292172,0.002762,0.001381,0.200
28273,2.09507,0.65146148,0.30872311,0.03981541,0.52717285,1.592172,0.018000,0.009000,0.550
28274,2.67007,0.74382907,0.25330256,0.00286837,-0.67282715,1.942172,0.018000,0.009000,0.025
28275,1.52007,0.70793767,0.27483740,0.01722493,0.12717285,2.642172,0.011068,0.005534,0.375
28276,1.80757,0.74645945,0.25172433,0.00181622,-0.87282715,1.417172,0.015220,0.007610,0.288
28277,2.95757,0.72324213,0.26565472,0.01110315,-0.07282715,2.117172,0.018000,0.009000,0.638
28278,2.38257,0.73969796,0.25578122,0.00452082,-0.47282715,2.467172,0.018000,0.009000,0.113
28279,1.23257,0.68496546,0.28862072,0.02641381,0.32717285,1.767172,0.006915,0.003457,0.463
28280,1.08882,0.74529272,0.25242437,0.00228291,-0.77282715,2.554672,0.004839,0.002419,0.682
28281,2.23882,0.71638617,0.26976830,0.01384553,0.02717285,1.854672,0.018000,0.009000,0.332
28282,2.81382,0.73682680,0.25750392,0.00566928,-0.37282715,1.504672,0.018000,0.009000,0.507
28283,1.66382,0.66971799,0.29776920,0.03251280,0.42717285,2.204672,0.013144,0.006572,0.157
28284,1.37632,0.74199460,0.25440324,0.00360216,-0.57282715,1.679672,0.008991,0.004496,0.594
28285,2.52632,0.69758085,0.28105149,0.02136766,0.22717285,2.379672,0.018000,0.009000,0.244
28286,1.95132,0.74738882,0.25116671,0.00144447,-0.97282715,2.029672,0.017297,0.008648,0.419
28287,0.80132,0.72878224,0.26233065,0.00888710,-0.17282715,1.329672,0.000686,0.000343,0.069
28288,0.83726,0.74146777,0.25471934,0.00381289,-0.54782715,2.620297,0.001205,0.000602,0.496
28289,1.98726,0.69465305,0.28280817,0.02253878,0.25217285,1.920297,0.017816,0.008908,0.146
28290,2.56226,0.74717593,0.25129444,0.00152963,-0.94782715,1.570297,0.018000,0.009000,0.671
28291,1.41226,0.72750694,0.26309584,0.00939722,-0.14782715,2.270297,0.009510,0.004755,0.321
28292,1.69976,0.74495726,0.25262564,0.00241710,-0.74782715,1.745297,0.013663,0.006832,0.408
28293,2.84976,0.71443503,0.27093898,0.01462599,0.05217285,2.445297,0.018000,0.009000,0.058
28294,2.27476,0.73600376,0.25799775,0.00599850,-0.34782715,2.095297,0.018000,0.009000,0.583
28295,1.12476,0.66545037,0.30032978,0.03421985,0.45217285,1.395297,0.005358,0.002679,0.233
28296,1.26851,0.74619213,0.25188472,0.00192315,-0.84782715,2.182797,0.007434,0.003717,0.014
28297,2.41851,0.72166162,0.26660303,0.01173535,-0.04782715,1.482797,0.018000,0.009000,0.364
28298,2.99351,0.73903894,0.25617664,0.00478443,-0.44782715,1.832797,0.018000,0.009000,0.189
28299,1.84351,0.68141522,0.29075087,0.02783391,0.35217285,2.532797,0.015740,0.007870,0.539
28300,1.55601,0.73221796,0.26026923,0.00751282,-0.24782715,1.307797,0.011587,0.005793,0.102
28301,2.70601,0.64638505,0.31176897,0.04184598,0.55217285,2.007797,0.018000,0.009000,0.452
28302,2.13101,0.74340846,0.25355492,0.00303662,-0.64782715,2.357797,0.018000,0.009000,0.277
28303,0.98101,0.70554052,0.27627569,0.01818379,0.15217285,1.657797,0.003281,0.001641,0.627
28304,0.90913,0.74422659,0.25306405,0.00270937,-0.69782715,1.526547,0.002243,0.001122,0.605
28305,2.05913,0.71021573,0.27347056,0.01631371,0.10217285,2.226547,0.018000,0.009000,0.255
28306,2.63413,0.73421484,0.25907110,0.00671407,-0.29782715,2.576547,0.018000,0.009000,0.430
28307,1.48413,0.65632765,0.30580341,0.03786894,0.50217285,1.876547,0.010549,0.005274,0.080
28308,1.77163,0.74032120,0.25540728,0.00427152,-0.49782715,2.051547,0.014701,0.007351,0.693
28309,2.92163,0.68835123,0.28658926,0.02505951,0.30217285,1.351547,0.018000,0.009000,0.343
28310,2.34663,0.74671199,0.25157280,0.00171520,-0.89782715,1.701547,0.018000,0.009000,0.518
28311,1.19663,0.72474059,0.26475565,0.01050377,-0.09782715,2.401547,0.006396,0.003198,0.168
28312,1.05288,0.73760550,0.25703670,0.00535780,-0.39782715,1.964047,0.004319,0.002160,0.299
28313,2.20288,0.67379742,0.29532155,0.03088103,0.40217285,2.664047,0.018000,0.009000,0.649
28314,2.77788,0.74560969,0.25223419,0.00215613,-0.79782715,2.314047,0.018000,0.009000,0.124
28315,1.62788,0.71823797,0.26865722,0.01310481,0.00217285,1.614047,0.012625,0.006312,0.474
28316,1.34038,0.74758991,0.25104605,0.00136404,-0.99782715,2.489047,0.008472,0.004236,0.211
28317,2.49038,0.72999031,0.26160581,0.00840387,-0.19782715,1.789047,0.018000,0.009000,0.561
28318,1.91538,0.74249264,0.25410441,0.00340294,-0.59782715,1.439047,0.016778,0.008389,0.036
28319,0.76538,0.70036760,0.27937944,0.02025296,0.20217285,2.139047,0.000167,0.000083,0.386
28320,0.74741,0.73557485,0.25825509,0.00617006,-0.33532715,1.471860,0.000000,0.000000,0.654
28321,1.89741,0.66324418,0.30165349,0.03510233,0.46467285,2.171860,0.016518,0.008259,0.304
28322,2.47241,0.74478227,0.25273064,0.00248709,-0.73532715,2.521860,0.018000,0.009000,0.479
28323,1.32241,0.71342074,0.27154755,0.01503170,0.06467285,1.821860,0.008213,0.004106,0.129
28324,1.60991,0.74706485,0.25136109,0.00157406,-0.93532715,2.346860,0.012365,0.006183,0.567
28325,2.75991,0.72684300,0.26349420,0.00966280,-0.13532715,1.646860,0.018000,0.009000,0.217
28326,2.18491,0.74119305,0.25488417,0.00392278,-0.53532715,1.996860,0.018000,0.009000,0.392
28327,1.03491,0.69313447,0.28371932,0.02314621,0.26467285,2.696860,0.004060,0.002030,0.042
28328,1.17866,0.74318909,0.25368655,0.00312437,-0.63532715,1.734360,0.006136,0.003068,0.261
28329,2.32866,0.70429564,0.27702262,0.01868175,0.16467285,2.434360,0.018000,0.009000,0.611
28330,2.90366,0.73168362,0.26058983,0.00772655,-0.23532715,2.084360,0.018000,0.009000,0.086
28331,1.75366,0.64376643,0.31334014,0.04289343,0.56467285,1.384360,0.014442,0.007221,0.436
28332,1.46616,0.73869539,0.25638277,0.00492184,-0.43532715,2.609360,0.010289,0.005145,0.348
28333,2.61616,0.67957655,0.29185407,0.02856938,0.36467285,1.909360,0.018000,0.009000,0.698
28334,2.04116,0.74605266,0.25196841,0.00197894,-0.83532715,1.559360,0.018000,0.009000,0.173
28335,0.89116,0.72083933,0.26709640,0.01206427,-0.03532715,2.259360,0.001983,0.000992,0.523
28336,0.96304,0.74658752,0.25164749,0.00176499,-0.88532715,2.390610,0.003022,0.001511,0.370
28337,2.11304,0.72400136,0.26519918,0.01079945,-0.08532715,1.690610,0.018000,0.009000,0.020
28338,2.68804,0.74001393,0.25559164,0.00439443,-0.48532715,1.340610,0.018000,0.009000,0.545
28339,1.53804,0.68667854,0.28759288,0.02572859,0.31467285,2.040610,0.011327,0.005664,0.195
28340,1.82554,0.73373597,0.25935842,0.00690561,-0.28532715,1.865610,0.015480,0.007740,0.457
28341,2.97554,0.65392052,0.30724769,0.03883179,0.51467285,2.565610,0.018000,0.009000,0.107
28342,2.40054,0.74403063,0.25318162,0.00278775,-0.68532715,2.215610,0.018000,0.009000,0.632
28343,1.25054,0.70909126,0.27414524,0.01676350,0.11467285,1.515610,0.007174,0.003587,0.282
28344,1.10679,0.74224712,0.25425173,0.00350115,-0.58532715,2.128110,0.005098,0.002549,0.151
28345,2.25679,0.69899150,0.28020510,0.02080340,0.21467285,1.428110,0.018000,0.009000,0.501
28346,2.83179,0.74749080,0.25110552,0.00140368,-0.98532715,1.778110,0.018000,0.009000,0.326
28347,1.68179,0.72939447,0.26196332,0.00864221,-0.18532715,2.478110,0.013404,0.006702,0.676
28348,1.39429,0.74545345,0.25232793,0.00221862,-0.78532715,1.603110,0.009251,0.004625,0.064
28349,2.54429,0.71732420,0.26920548,0.01347032,0.01467285,2.303110,0.018000,0.009000,0.414
28350,1.96929,0.73722155,0.25726707,0.00551138,-0.38532715,2.653110,0.017556,0.008778,0.239
28351,0.81929,0.67178087,0.29653148,0.03168765,0.41467285,1.953110,0.000945,0.000473,0.589
28352,0.78335,0.74441708,0.25294975,0.00263317,-0.71032715,2.018735,0.000426,0.000213,0.337
28353,1.93335,0.71131171,0.27281298,0.01587532,0.08967285,1.318735,0.017037,0.008519,0.687
28354,2.50835,0.73468072,0.25879157,0.00652771,-0.31032715,1.668735,0.018000,0.009000,0.162
28355,1.35835,0.65868352,0.30438989,0.03692659,0.48967285,2.368735,0.008732,0.004366,0.512
28356,1.64585,0.74061999,0.25522801,0.00415201,-0.51032715,1.493735,0.012885,0.006442,0.250
28357,2.79585,0.68998429,0.28560942,0.02440628,0.28967285,2.193735,0.018000,0.009000,0.600
28358,2.22085,0.74683298,0.25150021,0.00166681,-0.91032715,2.543735,0.018000,0.009000,0.075
28359,1.07085,0.72546028,0.26432383,0.01021589,-0.11032715,1.843735,0.004579,0.002289,0.425
28360,1.21460,0.73057019,0.26125789,0.00817193,-0.21032715,2.456235,0.006655,0.003328,0.556
28361,2.36460,0.63836541,0.31658076,0.04505384,0.58967285,1.756235,0.018000,0.009000,0.206
28362,2.93960,0.74273136,0.25396119,0.00330746,-0.61032715,1.406235,0.018000,0.009000,0.381
28363,1.78960,0.70170986,0.27857408,0.01971606,0.18967285,2.106235,0.014961,0.007480,0.031
28364,1.50210,0.74576155,0.25214307,0.00209538,-0.81032715,1.931235,0.010808,0.005404,0.643
28365,2.65210,0.71912805,0.26812317,0.01274878,-0.01032715,2.631235,0.018000,0.009000,0.293
28366,2.07710,0.73797894,0.25681264,0.00520842,-0.41032715,2.281235,0.018000,0.009000,0.468
28367,0.92710,0.67576839,0.29413896,0.03009264,0.38967285,1.581235,0.002503,0.001251,0.118
28368,0.85523,0.73937304,0.25597617,0.00465078,-0.46032715,1.799985,0.001464,0.000732,0.053
28369,2.00523,0.68321127,0.28967324,0.02711549,0.33967285,2.499985,0.018000,0.009000,0.403
28370,2.58023,0.74632769,0.25180339,0.00186893,-0.86032715,2.149985,0.018000,0.009000,0.228
28371,1.43023,0.72246238,0.26612257,0.01141505,-0.06032715,1.449985,0.009770,0.004885,0.578
28372,1.71773,0.74362173,0.25342696,0.00295131,-0.66032715,2.674985,0.013923,0.006961,0.140
28373,2.86773,0.70675432,0.27554741,0.01769827,0.13967285,1.974985,0.018000,0.009000,0.490
28374,2.29273,0.73273788,0.25995727,0.00730485,-0.26032715,1.624985,0.018000,0.009000,0.315
28375,1.14273,0.64894986,0.31023008,0.04082006,0.53967285,2.324985,0.005617,0.002809,0.665
28376,0.99898,0.74728389,0.25122966,0.00148644,-0.96032715,1.362485,0.003541,0.001770,0.446
28377,2.14898,0.72815321,0.26270807,0.00913872,-0.16032715,2.062485,0.018000,0.009000,0.096
28378,2.72398,0.74173488,0.25455907,0.00370605,-0.56032715,2.412485,0.018000,0.009000,0.621
28379,1.57398,0.69613494,0.28191904,0.02194603,0.23967285,1.712485,0.011846,0.005923,0.271
28380,1.28648,0.73642097,0.25774742,0.00583161,-0.36032715,2.237485,0.007694,0.003847,0.359
28381,2.43648,0.66760807,0.29903516,0.03335677,0.43967285,1.537485,0.018000,0.009000,0.009
28382,1.86148,0.74512737,0.25252358,0.00234905,-0.76032715,1.887485,0.015999,0.008000,0.534
